postcode,EstimatedPopulation2017,CensusPopulation2011,Aged00to04,Aged05to09,Aged10to14,Aged15to19,Aged20to24,Aged25to29,Aged30to34,Aged35to39,Aged40to44,Aged45to49,Aged50to54,Aged55to59,Aged60to64,Aged65to69,Aged70to74,Aged75to79,Aged80to84,Aged85plus,RelativeSEAdDisad_1,RelativeSEAdDisad_2,RelativeSEAdDisad_3,RelativeSEAdDisad_4,RelativeSEAdDisad_5,RelativeSEAdDisad_6,RelativeSEAdDisad_7,RelativeSEAdDisad_8,RelativeSEAdDisad_9,RelativeSEAdDisad_10,RelativeSEAdDisad_WeightedAverage
4223,15453.15,13396.00,0.06,0.08,0.05,0.06,0.05,0.07,0.07,0.08,0.06,0.07,0.06,0.07,0.06,0.06,0.04,0.03,0.02,0.02,748,930,892,"1,883","2,982","1,135","3,441","2,378",954,,5.6
4224,6392.33,6004.00,0.09,0.06,0.05,0.07,0.08,0.07,0.10,0.09,0.06,0.07,0.07,0.07,0.05,0.03,0.02,0.02,0.01,0.01,,887,"1,216",438,"3,482",369,,,,,4.2
4225,8008.36,6808.00,0.04,0.03,0.03,0.04,0.10,0.09,0.08,0.06,0.05,0.06,0.06,0.07,0.07,0.05,0.04,0.05,0.03,0.04,"1,229","1,549","2,746","1,239","1,231",,,,,,3.0
4226,32103.84,29020.16,0.05,0.06,0.06,0.08,0.07,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.04,0.04,0.02,0.02,,320,"1,903","3,593","2,337","5,538","7,702","5,849","2,413","1,684",6.4
4227,22825.77,19875.54,0.06,0.07,0.08,0.09,0.09,0.08,0.07,0.07,0.09,0.07,0.05,0.04,0.04,0.04,0.02,0.01,0.01,0.03,"1,329","1,252","1,003","1,597","1,084","6,790","3,136","2,476","1,218","2,941",6.2
4228,5454.63,5098.47,0.05,0.09,0.04,0.03,0.08,0.11,0.06,0.06,0.06,0.07,0.07,0.11,0.07,0.03,0.03,0.02,0.02,0.03,,,,,61,359,"1,074","3,294",668,,7.8
4229,188.23,204.00,0.00,0.00,0.00,0.33,0.47,0.10,0.01,0.00,0.01,0.02,0.01,0.02,0.00,0.03,0.01,0.01,0.00,0.00,,,,,,,,,,,
4230,2757.91,1583.36,0.04,0.03,0.01,0.06,0.11,0.11,0.08,0.06,0.06,0.07,0.06,0.07,0.05,0.06,0.05,0.05,0.02,0.01,,,,,,604,"1,312",842,,,7.1
4270,2897.40,3632.00,0.06,0.08,0.10,0.07,0.04,0.02,0.04,0.08,0.12,0.09,0.08,0.07,0.04,0.05,0.02,0.01,0.01,0.01,,,,,837,184,"1,347",530,,,6.5
4271,3322.73,2702.00,0.06,0.06,0.08,0.05,0.03,0.02,0.03,0.07,0.10,0.08,0.08,0.10,0.06,0.08,0.05,0.02,0.01,0.02,,,,407,963,"1,866",,86,,,5.5
4272,5392.01,4239.53,0.05,0.08,0.08,0.06,0.02,0.01,0.02,0.06,0.09,0.07,0.08,0.10,0.07,0.09,0.06,0.03,0.02,0.02,,,,806,377,"1,319","1,370","1,520",,,6.4
