postcode,EstimatedPopulation2017,CensusPopulation2011,Aged00to04,Aged05to09,Aged10to14,Aged15to19,Aged20to24,Aged25to29,Aged30to34,Aged35to39,Aged40to44,Aged45to49,Aged50to54,Aged55to59,Aged60to64,Aged65to69,Aged70to74,Aged75to79,Aged80to84,Aged85plus,RelativeSEAdDisad_1,RelativeSEAdDisad_2,RelativeSEAdDisad_3,RelativeSEAdDisad_4,RelativeSEAdDisad_5,RelativeSEAdDisad_6,RelativeSEAdDisad_7,RelativeSEAdDisad_8,RelativeSEAdDisad_9,RelativeSEAdDisad_10,RelativeSEAdDisad_WeightedAverage
800,5238.36,4543.00,0.04,0.02,0.02,0.03,0.14,0.19,0.14,0.08,0.06,0.06,0.06,0.06,0.04,0.03,0.01,0.02,0.01,0.01,,,,,,,1103.86,2471.60,965.03,689.37,8.22
810,33459.39,29513.00,0.08,0.06,0.05,0.05,0.06,0.08,0.09,0.08,0.06,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0.01,606.68,18.36,1202.54,3077.71,4084.28,5092.31,8104.14,6218.77,1759.69,706.24,5.89
812,21478.17,19368.00,0.08,0.09,0.07,0.09,0.06,0.08,0.07,0.07,0.09,0.06,0.06,0.07,0.05,0.03,0.03,0.01,0.00,0.00,410.84,,1911.02,3645.78,2583.80,4120.02,2849.36,2410.34,2995.35,515.01,6.04
815,209.57,207.00,0.08,0.03,0.01,0.08,0.25,0.16,0.11,0.05,0.03,0.05,0.07,0.06,0.00,0.02,0.01,0.00,0.01,0.00,,,,,,,,,,209.57,10.00
820,21303.07,19099.00,0.06,0.05,0.05,0.06,0.08,0.11,0.11,0.09,0.07,0.07,0.06,0.06,0.04,0.04,0.03,0.01,0.01,0.01,237.40,,1907.03,,,325.06,3624.14,4778.54,4071.92,5793.16,7.80
822,29103.25,24696.66,0.08,0.08,0.10,0.07,0.09,0.10,0.10,0.07,0.06,0.06,0.07,0.05,0.04,0.03,0.01,0.01,0.00,0.00,22674.03,1304.63,850.29,439.30,1632.38,1016.37,867.52,,,,1.72
828,2105.20,1704.00,0.03,0.03,0.07,0.26,0.04,0.02,0.09,0.14,0.03,0.04,0.04,0.02,0.04,0.09,0.03,0.00,0.00,0.00,,1045.98,225.76,,,,,,,197.12,2.25
829,1258.59,1137.00,0.07,0.01,0.01,0.07,0.35,0.13,0.04,0.01,0.01,0.02,0.10,0.02,0.11,0.05,0.00,0.01,0.00,0.00,,63.72,,260.96,,,,,,,0.93
830,20722.09,17984.64,0.08,0.07,0.07,0.06,0.08,0.09,0.10,0.06,0.07,0.09,0.05,0.05,0.05,0.04,0.01,0.01,0.01,0.00,2802.02,1073.32,2116.76,3064.16,1986.90,2634.78,785.04,299.89,3011.64,1030.56,4.57
832,11525.51,9674.07,0.09,0.10,0.08,0.05,0.12,0.10,0.07,0.08,0.09,0.05,0.05,0.07,0.03,0.02,0.01,0.01,0.00,0.00,81.00,,,,2089.13,523.55,803.10,5084.87,729.45,1991.28,7.50
834,1783.22,1848.02,0.03,0.04,0.06,0.04,0.04,0.07,0.13,0.13,0.09,0.08,0.09,0.06,0.04,0.05,0.03,0.00,0.01,0.00,,,,,,819.82,617.76,345.64,,,6.73
835,3508.42,3210.00,0.13,0.04,0.03,0.04,0.01,0.06,0.06,0.03,0.06,0.05,0.16,0.06,0.16,0.08,0.01,0.02,0.01,0.01,,,,,,1180.33,418.35,1361.14,,548.59,7.52
836,7741.55,6896.00,0.06,0.07,0.08,0.05,0.09,0.05,0.06,0.09,0.14,0.12,0.07,0.06,0.03,0.03,0.02,0.01,0.01,0.00,,,,,1239.56,2310.12,2947.72,590.83,653.31,,6.63
837,485.13,455.00,0.07,0.06,0.04,0.05,0.07,0.17,0.15,0.05,0.03,0.05,0.07,0.05,0.04,0.05,0.03,0.01,0.01,0.00,,,,,485.13,,,,,,5.00
838,828.56,651.00,0.06,0.06,0.03,0.05,0.08,0.18,0.15,0.04,0.04,0.04,0.05,0.06,0.04,0.05,0.05,0.00,0.01,0.00,,,,,828.56,,,,,,5.00
839,714.81,91.16,0.03,0.04,0.06,0.04,0.04,0.07,0.13,0.12,0.09,0.08,0.09,0.08,0.04,0.07,0.03,0.00,0.00,0.00,,,,,,,714.81,,,,7.00
840,448.13,288.00,0.02,0.00,0.03,0.06,0.06,0.13,0.09,0.04,0.06,0.08,0.11,0.13,0.08,0.09,0.01,0.01,0.00,0.00,448.13,,,,,,,,,,1.00
841,766.24,699.00,0.06,0.04,0.06,0.05,0.06,0.18,0.15,0.04,0.04,0.08,0.05,0.03,0.04,0.06,0.04,0.01,0.00,0.01,,,766.24,,,,,,,,3.00
845,412.39,353.00,0.04,0.04,0.02,0.07,0.09,0.14,0.09,0.01,0.09,0.08,0.07,0.08,0.06,0.06,0.03,0.01,0.02,0.00,369.98,42.41,,,,,,,,,1.10
846,381.77,326.00,0.06,0.02,0.05,0.07,0.07,0.15,0.08,0.02,0.06,0.08,0.08,0.07,0.08,0.06,0.02,0.01,0.02,0.01,,381.77,,,,,,,,,2.00
847,513.95,384.19,0.05,0.06,0.11,0.06,0.04,0.02,0.04,0.13,0.12,0.10,0.10,0.04,0.04,0.03,0.02,0.03,0.01,0.00,513.95,,,,,,,,,,1.00
850,9476.96,7599.00,0.11,0.09,0.09,0.07,0.06,0.08,0.06,0.05,0.08,0.08,0.06,0.06,0.04,0.03,0.01,0.01,0.01,0.01,506.80,3062.67,962.40,1355.70,664.31,1051.07,423.59,1450.40,,,4.13
852,9516.31,8021.83,0.08,0.08,0.07,0.08,0.12,0.09,0.07,0.07,0.06,0.05,0.05,0.08,0.05,0.03,0.02,0.01,0.01,0.00,7619.46,205.79,311.69,232.70,224.60,98.40,820.65,,,,1.82
853,847.38,743.00,0.17,0.11,0.08,0.04,0.09,0.16,0.08,0.11,0.08,0.05,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.00,,,,,,,,,847.38,,9.00
854,1471.64,920.00,0.12,0.07,0.03,0.06,0.09,0.14,0.14,0.03,0.03,0.05,0.05,0.10,0.04,0.02,0.01,0.01,0.01,0.00,669.77,656.87,,,,,,,,,1.35
860,3711.43,3077.00,0.13,0.09,0.05,0.07,0.05,0.05,0.08,0.08,0.06,0.07,0.06,0.04,0.06,0.03,0.05,0.02,0.00,0.00,1062.89,925.92,1044.64,502.33,,,,,,,2.17
862,922.44,766.08,0.04,0.06,0.02,0.10,0.04,0.07,0.11,0.09,0.07,0.04,0.05,0.09,0.09,0.06,0.04,0.01,0.01,0.00,922.44,,,,,,,,,,1.00
870,23347.55,19958.02,0.10,0.09,0.07,0.07,0.07,0.11,0.11,0.07,0.08,0.06,0.05,0.05,0.03,0.03,0.01,0.01,0.01,0.00,669.49,767.75,912.09,2569.25,4559.82,3993.08,5299.54,2124.71,315.68,1918.04,5.91
872,18040.95,15229.56,0.07,0.06,0.05,0.05,0.09,0.09,0.10,0.09,0.06,0.11,0.06,0.06,0.06,0.03,0.02,0.01,0.00,0.00,14741.00,725.82,,966.56,,,,,,,1.11
873,2819.69,2424.84,0.04,0.09,0.16,0.13,0.04,0.03,0.02,0.08,0.08,0.07,0.07,0.03,0.05,0.04,0.02,0.02,0.01,0.03,576.09,666.79,,555.39,,163.76,23.20,,773.35,,4.34
874,785.78,466.21,0.05,0.05,0.04,0.03,0.08,0.08,0.17,0.08,0.07,0.07,0.02,0.03,0.00,0.01,0.01,0.01,0.00,0.01,,,,,,,,,611.35,,7.00
875,3153.76,2557.00,0.13,0.09,0.09,0.09,0.07,0.10,0.09,0.07,0.08,0.08,0.04,0.03,0.02,0.02,0.01,0.00,0.00,0.00,130.31,853.52,,,619.52,1550.42,,,,,4.51
880,7242.30,5934.00,0.12,0.13,0.09,0.05,0.06,0.06,0.08,0.11,0.10,0.05,0.06,0.04,0.02,0.02,0.01,0.00,0.00,0.00,2600.67,,,,,536.49,3120.59,849.51,,,4.76
885,1298.90,986.86,0.06,0.07,0.02,0.04,0.01,0.12,0.14,0.09,0.08,0.09,0.11,0.05,0.10,0.02,0.01,0.00,0.00,0.00,1.18,,,,,387.39,,546.89,363.43,,7.68
886,1207.21,1127.00,0.07,0.04,0.03,0.07,0.07,0.21,0.14,0.07,0.10,0.09,0.07,0.03,0.01,0.01,0.00,0.00,0.00,0.00,221.72,,,,,,985.50,,,,5.90
2000,29643.64,22749.00,0.03,0.02,0.01,0.03,0.14,0.19,0.16,0.09,0.06,0.05,0.05,0.04,0.05,0.03,0.02,0.02,0.01,0.01,691.39,372.64,3196.96,4019.61,4852.14,2142.64,3561.63,2388.23,3410.35,4371.72,6.16
2006,887.50,892.00,0.01,0.01,0.01,0.30,0.46,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,
2007,11324.83,7106.00,0.03,0.02,0.02,0.06,0.23,0.22,0.14,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,,,896.88,2611.63,1386.66,940.93,2845.10,,2643.63,,6.13
2008,13293.03,6296.24,0.02,0.02,0.01,0.03,0.23,0.25,0.17,0.08,0.04,0.04,0.04,0.02,0.02,0.02,0.01,0.01,0.00,0.00,,,,417.07,196.20,9110.76,1113.25,335.66,1811.72,308.37,6.56
2009,12402.47,11614.00,0.05,0.03,0.02,0.02,0.07,0.17,0.17,0.10,0.07,0.06,0.07,0.05,0.05,0.04,0.02,0.01,0.01,0.01,82.30,,,195.98,1258.27,2182.83,937.69,1081.99,972.74,5683.59,8.15
2010,32593.05,25475.00,0.03,0.02,0.01,0.02,0.06,0.20,0.20,0.12,0.08,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.02,1219.85,,753.40,811.35,580.91,2273.66,3361.31,9531.15,7210.32,6728.93,7.83
2011,22598.57,18039.21,0.03,0.02,0.02,0.01,0.03,0.13,0.14,0.13,0.10,0.07,0.07,0.06,0.06,0.05,0.04,0.02,0.01,0.02,937.10,328.22,1017.72,508.19,1653.62,1306.40,3808.87,3766.71,5354.06,3505.56,7.21
2015,10631.29,8452.36,0.05,0.03,0.02,0.03,0.04,0.15,0.17,0.15,0.10,0.06,0.05,0.05,0.03,0.03,0.01,0.01,0.01,0.01,,,,485.24,,328.41,625.54,,3297.80,5569.37,8.81
2016,9613.62,12010.00,0.04,0.02,0.01,0.01,0.09,0.15,0.15,0.11,0.08,0.08,0.06,0.04,0.04,0.04,0.03,0.02,0.02,0.01,1314.66,176.99,,,,527.69,1198.06,1229.83,3224.23,1942.17,7.44
2017,22005.86,14480.68,0.06,0.02,0.01,0.05,0.12,0.16,0.16,0.11,0.08,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,2952.96,957.69,,,,610.34,3552.24,1575.71,7990.39,4366.53,7.34
2018,14123.40,15389.00,0.07,0.06,0.06,0.05,0.07,0.09,0.10,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.01,1180.53,3263.27,445.26,1758.67,760.32,3158.34,1820.78,,1247.86,304.70,4.66
2019,10913.01,8930.00,0.07,0.08,0.05,0.05,0.04,0.03,0.08,0.11,0.10,0.08,0.06,0.04,0.04,0.05,0.04,0.02,0.03,0.04,,426.49,928.32,469.91,483.69,892.19,2375.36,3736.64,1539.91,,6.75
2020,14475.50,10190.00,0.06,0.05,0.05,0.04,0.08,0.14,0.12,0.08,0.07,0.06,0.06,0.06,0.04,0.02,0.03,0.03,0.01,0.01,,,1046.30,2675.70,2387.66,2629.34,,,,5494.18,6.67
2021,17009.32,14368.68,0.06,0.03,0.01,0.02,0.06,0.15,0.16,0.11,0.09,0.07,0.06,0.04,0.03,0.04,0.03,0.02,0.01,0.01,,,,,,,1109.75,1123.07,5938.30,8718.41,9.25
2022,13959.35,11603.30,0.07,0.05,0.04,0.04,0.05,0.10,0.08,0.09,0.08,0.07,0.06,0.06,0.04,0.05,0.04,0.04,0.02,0.03,,,,465.13,,1024.94,1793.55,4769.25,3698.13,2205.56,8.17
2023,11471.03,10551.00,0.06,0.05,0.06,0.07,0.06,0.08,0.09,0.08,0.07,0.06,0.07,0.07,0.05,0.05,0.04,0.03,0.01,0.01,,,,,,,,677.26,1925.47,8868.30,9.71
2024,11797.55,10898.00,0.08,0.07,0.05,0.04,0.04,0.07,0.11,0.10,0.08,0.08,0.06,0.05,0.04,0.04,0.03,0.02,0.02,0.03,,,,978.04,,,305.58,773.78,3852.18,5884.72,8.96
2025,7795.25,6945.00,0.07,0.07,0.03,0.02,0.06,0.08,0.09,0.09,0.07,0.07,0.06,0.06,0.06,0.04,0.03,0.03,0.03,0.04,,,,311.18,,,,710.46,1759.94,5013.67,9.35
2026,35890.81,30664.00,0.07,0.05,0.03,0.03,0.06,0.14,0.18,0.12,0.08,0.06,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,,,,,,1056.06,4169.16,7102.47,12709.69,10846.19,8.78
2027,9253.75,7658.19,0.04,0.03,0.03,0.03,0.04,0.09,0.10,0.08,0.06,0.05,0.07,0.07,0.06,0.07,0.05,0.04,0.03,0.05,,,,146.83,,,,,4151.11,4955.81,9.46
2028,5428.45,4497.00,0.05,0.04,0.04,0.04,0.07,0.11,0.10,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.02,0.02,,,,,,,,,2670.98,2757.48,9.51
2029,10929.66,9555.81,0.08,0.06,0.07,0.06,0.04,0.05,0.07,0.08,0.07,0.07,0.05,0.06,0.06,0.06,0.05,0.03,0.03,0.03,,,,,,,453.03,359.98,5803.44,4303.52,9.27
2030,15255.87,13873.00,0.07,0.08,0.09,0.09,0.04,0.01,0.03,0.05,0.08,0.09,0.07,0.06,0.06,0.06,0.04,0.02,0.02,0.03,,,,,,,,1285.77,2970.10,10804.05,9.51
2031,36934.07,32347.00,0.07,0.05,0.04,0.02,0.05,0.14,0.14,0.10,0.09,0.06,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0.03,,,,,462.84,1368.53,3844.43,5857.08,14514.88,10841.54,8.75
2032,16932.30,15136.00,0.04,0.04,0.03,0.07,0.25,0.12,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.02,1132.91,,,1130.91,2019.73,5132.74,3672.92,2051.68,1449.04,342.37,6.21
2033,12388.75,10597.00,0.05,0.03,0.03,0.07,0.22,0.14,0.08,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,,,,,351.85,385.25,3639.62,4142.13,3029.82,840.09,7.94
2034,22556.22,19053.00,0.07,0.05,0.04,0.02,0.04,0.13,0.15,0.11,0.09,0.07,0.05,0.05,0.03,0.03,0.03,0.02,0.01,0.01,2182.93,,,,,,,1202.87,10100.15,9070.28,8.57
2035,38359.32,33230.00,0.08,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.02,1978.24,786.52,1941.89,,1823.75,4485.65,8660.49,8595.39,6285.24,3801.26,7.02
2036,31421.00,26854.00,0.07,0.06,0.05,0.07,0.03,0.04,0.05,0.07,0.07,0.08,0.08,0.07,0.06,0.07,0.05,0.03,0.03,0.03,1880.09,2677.07,3979.83,2436.64,951.54,2923.80,3486.35,4293.19,1759.42,5764.43,5.84
2037,16358.08,13808.00,0.05,0.03,0.03,0.04,0.10,0.13,0.10,0.10,0.08,0.07,0.06,0.05,0.05,0.04,0.02,0.02,0.01,0.01,1897.35,609.09,,1091.94,2043.06,,1671.11,2112.09,4324.74,2602.40,6.80
2038,9872.60,8701.50,0.08,0.05,0.04,0.03,0.06,0.09,0.11,0.10,0.10,0.09,0.06,0.06,0.06,0.04,0.02,0.01,0.01,0.01,,,,,,534.67,393.66,1145.37,3363.87,4435.03,9.09
2039,9288.79,7970.00,0.08,0.05,0.03,0.03,0.02,0.07,0.14,0.14,0.09,0.06,0.07,0.07,0.05,0.05,0.03,0.01,0.01,0.01,,,,,,,,,2377.72,6866.74,9.70
2040,23633.23,20873.00,0.09,0.05,0.04,0.03,0.05,0.07,0.10,0.12,0.10,0.08,0.06,0.05,0.05,0.04,0.02,0.02,0.01,0.02,711.25,,,,,611.72,2725.97,6339.44,8772.12,4388.89,8.34
2041,16875.95,14794.00,0.07,0.05,0.04,0.02,0.02,0.05,0.13,0.10,0.12,0.08,0.07,0.08,0.06,0.05,0.03,0.01,0.01,0.01,,519.19,,861.81,,,408.10,1031.36,1095.11,12959.45,9.19
2042,20024.60,17934.00,0.05,0.03,0.02,0.04,0.12,0.16,0.14,0.11,0.08,0.07,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.01,,,536.76,,,1025.39,2292.02,4757.48,8937.08,2014.22,8.11
2043,7786.81,6825.64,0.06,0.03,0.02,0.02,0.02,0.14,0.20,0.16,0.10,0.06,0.05,0.05,0.03,0.02,0.02,0.01,0.01,0.00,,,432.00,,,,,,1771.05,5583.77,9.38
2044,8293.30,7204.00,0.07,0.04,0.04,0.03,0.09,0.11,0.13,0.09,0.07,0.09,0.05,0.05,0.03,0.04,0.02,0.02,0.02,0.02,,,,275.08,1723.22,1161.74,2371.11,1224.72,1345.30,,6.65
2045,7009.00,6630.00,0.05,0.09,0.07,0.06,0.05,0.04,0.05,0.07,0.08,0.10,0.08,0.06,0.04,0.04,0.04,0.03,0.03,0.04,,,,,518.92,440.09,847.11,2625.51,2075.75,501.63,7.97
2046,29650.10,25191.71,0.07,0.06,0.05,0.04,0.03,0.05,0.09,0.10,0.08,0.08,0.06,0.07,0.06,0.05,0.04,0.03,0.02,0.02,532.00,462.55,,486.05,1496.61,1533.50,3534.99,6820.48,7484.46,7256.00,8.07
2047,14034.77,11379.00,0.07,0.06,0.04,0.04,0.03,0.06,0.08,0.11,0.09,0.09,0.06,0.06,0.05,0.06,0.02,0.03,0.03,0.03,,,,,,,,949.45,6764.61,6320.72,9.38
2048,8253.75,7452.06,0.05,0.04,0.03,0.04,0.08,0.13,0.14,0.10,0.09,0.08,0.05,0.03,0.04,0.03,0.02,0.02,0.02,0.02,,,,,,,913.37,1835.99,5018.72,485.67,8.62
2049,11732.49,10318.00,0.06,0.05,0.04,0.04,0.07,0.11,0.12,0.10,0.08,0.08,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.02,,330.69,,211.65,,1125.05,2398.51,4613.81,2734.68,318.09,7.65
2050,10451.86,6946.44,0.05,0.03,0.02,0.03,0.13,0.16,0.16,0.12,0.08,0.06,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,655.92,,,,,,,336.91,4272.92,4924.72,8.71
2052,2628.10,2291.00,0.01,0.01,0.01,0.23,0.54,0.09,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,,,,,245.96,,,,257.20,,1.35
2060,14675.32,12743.08,0.04,0.03,0.04,0.04,0.06,0.14,0.13,0.09,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.02,0.02,,,,,,,483.65,538.80,5733.35,7916.02,9.43
2061,6570.96,5620.00,0.04,0.03,0.02,0.02,0.05,0.11,0.12,0.08,0.07,0.10,0.06,0.07,0.06,0.06,0.05,0.03,0.02,0.02,611.54,,,,,,,84.01,782.06,4807.68,8.58
2062,7487.56,6614.04,0.07,0.05,0.03,0.03,0.04,0.10,0.12,0.11,0.09,0.07,0.07,0.05,0.05,0.06,0.03,0.02,0.02,0.01,,,,,,,323.20,290.11,2596.21,4278.05,9.45
2063,6686.35,5912.00,0.07,0.10,0.10,0.05,0.04,0.02,0.03,0.06,0.09,0.10,0.07,0.07,0.06,0.06,0.03,0.02,0.02,0.02,,,,,,,410.95,,,6275.41,9.82
2064,9022.85,8612.29,0.06,0.06,0.04,0.05,0.06,0.10,0.10,0.10,0.08,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.01,0.02,238.90,,,,,,1142.45,1236.59,3693.88,2571.15,8.54
2065,31558.53,26887.24,0.06,0.04,0.03,0.03,0.07,0.14,0.15,0.11,0.07,0.05,0.05,0.05,0.05,0.04,0.03,0.02,0.01,0.01,,,,,,394.35,661.30,476.34,8454.84,21517.70,9.57
2066,33356.25,27625.00,0.07,0.07,0.06,0.05,0.06,0.07,0.09,0.08,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.02,0.02,0.03,,,,,318.21,3315.15,1391.00,1127.25,8433.04,18627.29,9.07
2067,25980.01,22495.00,0.05,0.05,0.04,0.06,0.09,0.10,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.03,,,598.72,,453.71,4622.89,5450.34,5418.90,2660.92,6718.17,7.87
2068,18025.56,16051.00,0.08,0.09,0.08,0.05,0.03,0.03,0.05,0.08,0.10,0.10,0.07,0.06,0.05,0.05,0.04,0.02,0.02,0.02,,,,,,,2281.09,458.00,3077.66,12208.82,9.40
2069,14793.14,13375.00,0.07,0.09,0.07,0.07,0.05,0.04,0.04,0.07,0.08,0.08,0.08,0.07,0.05,0.05,0.04,0.03,0.02,0.03,,,,,,,,,765.05,14028.09,9.95
2070,13947.90,12307.04,0.05,0.09,0.08,0.08,0.06,0.04,0.03,0.06,0.08,0.08,0.08,0.07,0.05,0.04,0.04,0.03,0.02,0.03,,,,,,,,85.29,4422.60,9440.01,9.67
2071,13772.69,11973.24,0.05,0.05,0.09,0.09,0.06,0.04,0.05,0.05,0.07,0.10,0.09,0.07,0.04,0.04,0.03,0.02,0.03,0.04,,,,,,,,1238.48,812.73,11721.48,9.76
2072,7901.81,6655.76,0.05,0.04,0.09,0.09,0.06,0.04,0.05,0.06,0.07,0.10,0.09,0.07,0.04,0.04,0.03,0.02,0.02,0.04,,,,,,,332.80,338.17,2883.09,4347.76,9.42
2073,17768.03,15699.00,0.06,0.08,0.10,0.09,0.06,0.04,0.04,0.06,0.10,0.09,0.07,0.05,0.05,0.04,0.03,0.02,0.01,0.01,,,,,,,,,538.69,17229.33,9.97
2074,23940.50,20933.00,0.06,0.06,0.07,0.07,0.05,0.04,0.04,0.06,0.06,0.08,0.07,0.06,0.06,0.06,0.05,0.03,0.04,0.05,,,,,,991.89,,714.43,1200.70,21030.48,9.72
2075,21534.71,18664.00,0.05,0.07,0.07,0.08,0.06,0.04,0.04,0.05,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.02,0.03,,,,,,,500.91,,1164.05,19867.67,9.88
2076,26478.38,23874.00,0.06,0.08,0.08,0.08,0.06,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.04,0.05,0.04,0.04,0.02,0.03,,532.78,,558.96,77.23,483.78,617.94,1714.93,3336.47,19155.33,9.30
2077,38876.01,34745.00,0.08,0.07,0.04,0.04,0.06,0.08,0.11,0.11,0.08,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.02,0.02,,970.93,,2321.24,3618.49,4860.48,7959.38,6944.12,6316.65,5821.25,7.33
2079,7665.74,7089.00,0.07,0.09,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.09,0.09,0.06,0.05,0.05,0.02,0.01,0.01,0.01,,,,,,,340.90,569.87,4181.31,2573.66,9.17
2080,1832.89,1600.00,0.07,0.07,0.06,0.04,0.06,0.05,0.07,0.08,0.09,0.07,0.09,0.05,0.06,0.06,0.02,0.01,0.01,0.01,,,,,,,307.40,360.95,564.39,490.62,8.20
2081,5675.97,5228.00,0.09,0.09,0.09,0.04,0.05,0.05,0.05,0.08,0.11,0.06,0.08,0.06,0.05,0.03,0.02,0.03,0.01,0.04,,,,,,,111.97,1050.56,2383.59,2126.92,9.15
2082,5732.13,5258.00,0.08,0.09,0.09,0.03,0.05,0.05,0.06,0.09,0.11,0.06,0.06,0.06,0.06,0.04,0.02,0.02,0.01,0.04,,,,,,59.46,3.00,681.83,3431.41,1550.57,9.11
2083,1741.85,1538.00,0.07,0.06,0.06,0.03,0.05,0.05,0.07,0.06,0.08,0.07,0.08,0.07,0.06,0.08,0.04,0.03,0.02,0.03,,,,86.67,,773.70,513.42,368.06,,,6.62
2084,3855.02,3504.00,0.06,0.08,0.07,0.06,0.07,0.07,0.01,0.03,0.07,0.12,0.05,0.05,0.04,0.10,0.07,0.04,0.01,0.01,,,,,,,313.65,295.86,784.19,2450.59,9.37
2085,12560.50,11182.00,0.05,0.07,0.08,0.08,0.03,0.02,0.02,0.04,0.07,0.10,0.08,0.06,0.05,0.06,0.06,0.05,0.04,0.05,,,,,640.64,503.48,,,391.49,11024.89,9.55
2086,14061.55,12795.43,0.07,0.09,0.09,0.08,0.03,0.02,0.03,0.05,0.08,0.10,0.09,0.06,0.03,0.05,0.06,0.04,0.02,0.01,57.21,,,,,,,,1620.83,12187.75,9.71
2087,13638.14,12296.00,0.08,0.12,0.09,0.06,0.03,0.02,0.03,0.07,0.09,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03,,,,824.25,,552.57,305.05,1265.73,1425.81,9260.00,9.11
2088,30882.34,27437.00,0.06,0.06,0.06,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.07,0.06,0.05,0.05,0.05,0.03,0.02,0.03,,,,,,618.09,,1576.05,6899.36,21781.93,9.59
2089,13363.46,11115.00,0.05,0.04,0.02,0.02,0.07,0.14,0.15,0.09,0.07,0.06,0.05,0.07,0.05,0.04,0.04,0.02,0.01,0.02,,,,,,,,2439.45,2224.05,8699.95,9.47
2090,15409.68,13008.00,0.07,0.03,0.03,0.03,0.04,0.10,0.12,0.10,0.09,0.06,0.06,0.06,0.06,0.07,0.04,0.03,0.02,0.01,,,,,,,,,3973.89,11435.79,9.74
2092,7230.26,6722.00,0.09,0.14,0.09,0.06,0.04,0.01,0.01,0.08,0.11,0.09,0.08,0.06,0.04,0.04,0.03,0.01,0.01,0.01,,,,,,,,619.97,426.08,6184.21,9.77
2093,24770.73,21569.00,0.09,0.11,0.07,0.05,0.04,0.05,0.05,0.09,0.10,0.08,0.06,0.05,0.04,0.04,0.03,0.02,0.01,0.02,,,,,,1261.58,3729.25,1967.95,5378.73,12432.37,8.97
2094,5742.68,5591.62,0.07,0.03,0.03,0.04,0.06,0.11,0.15,0.12,0.07,0.06,0.06,0.05,0.06,0.04,0.03,0.01,0.01,0.02,,,,,,,101.91,,1427.39,4200.19,9.68
2095,18158.43,14931.38,0.05,0.02,0.02,0.03,0.07,0.16,0.20,0.12,0.06,0.05,0.04,0.04,0.05,0.04,0.02,0.02,0.01,0.02,,,,399.37,,,1127.88,2166.18,7637.15,6720.44,8.96
2096,14429.13,13672.00,0.08,0.04,0.04,0.04,0.07,0.11,0.15,0.11,0.09,0.07,0.06,0.06,0.04,0.02,0.01,0.01,0.01,0.01,,,,,,,,1827.55,7702.84,4895.35,9.21
2097,16153.34,14287.00,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.08,0.08,0.07,0.05,0.06,0.06,0.04,0.03,0.02,0.01,,,,,,344.20,,2107.73,7537.80,6163.61,9.19
2099,41499.10,36847.00,0.07,0.05,0.05,0.05,0.07,0.08,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.02,324.46,712.46,803.55,3728.71,2882.04,5728.81,7976.93,6025.62,6432.61,6693.39,7.15
2100,23074.27,19526.27,0.07,0.07,0.06,0.07,0.06,0.05,0.07,0.08,0.09,0.07,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.03,714.89,445.90,,,,1833.59,2374.47,1353.32,6453.94,9005.93,8.16
2101,19440.99,18075.34,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.06,0.05,0.05,0.05,0.04,0.03,0.06,1222.29,,993.24,,157.72,1035.25,1724.68,2188.70,6622.92,5490.54,7.99
